Task Name,Description,Assignee,Priority,Status,Start Date,Due Date,Tags,Task Type,Time Estimate
Establish Private Team Chat,Create private chat with Micah Rodrigo Nick and Landon for governance coordination. Immediate coordination need,Landon,High,To Do,2025-08-10,2025-08-12,"Communication,Governance-Training",Task,2 hr
RBAC Library Security Assessment,Complete security audit of current RBAC library and document bypass vulnerability. Critical security issue identified,Nick Canino,Critical,To Do,2025-08-09,2025-08-13,"Security,Security-Framework",Task,4 hr
RBAC Library Replacement,Replace vulnerable RBAC library with secure authentication implementation. Fix critical bypass vulnerability. Depends on: RBAC Library Security Assessment,Development Team,Critical,To Do,2025-08-17,2025-08-20,"Security,Security-Framework",Task,24 hr
Multi-IDP Integration Design,Design authentication system supporting Microsoft Google Okta and Auth0. Replace custom authentication. Depends on: RBAC Library Security Assessment,Nick Canino,High,To Do,2025-08-21,2025-08-22,"Security,Security-Framework",Task,12 hr
Microsoft Azure AD Integration,Implement Microsoft Azure AD/Entra ID authentication. Primary IDP support. Depends on: Multi-IDP Integration Design,Development Team,High,To Do,2025-09-03,2025-09-05,"Security,Security-Framework",Task,16 hr
Google Workspace Integration,Implement Google Workspace authentication. Secondary IDP support. Depends on: Microsoft Azure AD Integration,Development Team,Medium,To Do,2025-09-13,2025-09-15,"Security,Security-Framework",Task,12 hr
Okta Integration,Implement Okta enterprise authentication. Enterprise IDP support. Depends on: Google Workspace Integration,Development Team,Medium,To Do,2025-09-24,2025-09-25,"Security,Security-Framework",Task,12 hr
Auth0 Abstraction Layer,Implement Auth0 as abstraction layer for multiple IDPs. IDP management simplification. Depends on: Okta Integration,Development Team,Low,To Do,2025-10-02,2025-10-05,"Security,Security-Framework",Task,20 hr
Penetration Testing - Constituent Manager,Security testing for Maryland State constituent portal module. Client delivery deadline August 15,Nick Canino,Critical,To Do,2025-08-08,2025-08-14,"Security,Client-Deliveries",Task,6 hr
Penetration Testing - Legal Assist,Security testing for Maryland State legal assistance module. Client delivery deadline August 25,Nick Canino,Critical,To Do,2025-08-18,2025-08-24,"Security,Client-Deliveries",Task,6 hr
Penetration Testing - AI EMS,Security testing for Howard County EMS module. Client delivery deadline September 1,Nick Canino,High,To Do,2025-08-24,2025-08-30,"Security,Client-Deliveries",Task,6 hr
Penetration Testing - EDS Module,Security testing for DDOT EDS module. Client delivery deadline September 1,Nick Canino,High,To Do,2025-08-24,2025-08-30,"Security,Client-Deliveries",Task,6 hr
Penetration Testing - AI ASL,Security testing for Howard County ASL module. Client delivery deadline September 15,Nick Canino,High,To Do,2025-09-08,2025-09-14,"Security,Client-Deliveries",Task,6 hr
